"problem_id","problem","answer","year","region","content_id"
"1","在毕业典礼上，柳教授谦逊地引用韩愈《师说》中的“{1}，{2}”两句，勉励学生们青出于蓝而胜于蓝。","(是故)弟子不必不如师,师不必贤于弟子","2025","全国一卷","5"
"2","每个人都难免有自己的知识盲区，遇到不懂的领域，应该虚心听取专业人士的意见，正如《师说》所谓：“{1}，{2}。”","道之所存,师之所存也","2022","北京卷","5"
"3","《师说》中，对于为子择师自己却耻于学习这种现象，韩愈最后的评价是：“{1}，{2}”。","小学而大遗,吾未见其明也","2019","新课标Ⅲ卷","5"
"4","韩愈的《师说》是写给少年李蟠的。文末所说的“{1}”，点出李蟠的文章爱好，而“{2}”，则说明了李蟠的儒学素养。","好古文,六艺经传皆通习之","2018","新课标Ⅰ卷","5"
"5","张老师给守卫边疆的丈夫发信息，引用秦观《鹊桥仙》中“{1}，{2}”两句，表示虽不能朝夕相守，但仍情长意久。","两情若是久长时,又岂在朝朝暮暮","2025","全国一卷","60"
"6","周末的音乐会圆满成功，媒体报道时引用苏轼《赤壁赋》中的“{1}，{2}”两句，形容洞箫的尾音婉转悠长，连绵不断。","余音袅袅,不绝如缕","2025","全国二卷","9"
"7","宋代张孝祥以“玉鉴琼田三万顷，着我扁舟一叶”描写舟泛水上，境致与苏轼《赤壁赋》中“{1}，{2}”两句所写的景致非常相似。","纵一苇之所如,凌万顷之茫然","2023","全国乙卷","9"
"8","苏轼在《赤壁赋》中发议论说，江水不停地流去，“{1}”；月亮时圆时缺，“{2}”。","而未尝往也,而卒莫消长也","2020","新课标Ⅱ卷","9"
"9","苏轼在《赤壁赋》中以“{1}，{2}”两句，写出了婉转悠长、延绵不尽的乐声之美。","余音袅袅,不绝如缕","2019","新课标Ⅱ卷","9"
"10","苏轼《赤壁赋》中描写明月初升的句子是“{1}，{2}”。","月出于东山之上,徘徊于斗牛之间","2018","新课标Ⅱ卷","9"
"11","在《赤壁赋》的开头，苏轼写自己与朋友泛舟赤壁之上，朗诵《诗经·陈风》中的《月出》篇，即文中所谓“{1}，{2}。”","诵明月之诗,歌窈窕之章","2016","新课标Ⅲ卷","9"
"12","老年大学的教室里悬挂着一副对联，写的是陆游《临安春雨初霁》中的“{1}，{2}”，对应着开设的书法和茶艺两门课。","矮纸斜行闲作草,晴窗细乳戏分茶","2025","全国二卷","64"
"13","陆游《临安春雨初霁》中“{1}，{2}”两句，看似闲适恬静，实则透露出诗人由于内心的惆怅而彻夜难眠。","小楼一夜听春雨,深巷明朝卖杏花","2023","新高考Ⅱ卷","64"
"14","绍兴很多桥的命名都有典故。“题扇桥”相传是王羲之为卖扇老妪题扇的地方，“杏卖桥”则得名于陆游《临安春雨初霁》的诗句“{1}，{2}”。","小楼一夜听春雨,深巷明朝卖杏花","2023","北京卷","64"
"15","孔子认为，君子应该“文质彬彬”，如果处理不好文质关系，就会产生两种结果：“{1}，{2}。”","质胜文则野,文胜质则史","2025","北京卷","1"
"16","近代以来，中华民族饱受列强欺凌，因此绝不会将自己曾经遭受的苦难强加给其他国家与民族，正如《论语》所谓：“{1}，{2}。”","己所不欲,勿施于人","2022","北京卷","1"
"17","古代诗人多有对“乐”的独到体会。欧阳修贬滁州，于山林间感慨“禽鸟知山林之乐，而不知人之乐；{1}，{2}。","人知从太守游而乐,而不知太守之乐其乐也","2021","北京卷","1"
"18","在《论语·述而》中孔子指出，即使吃粗劣的食物，枕着胳膊睡觉，也可以乐在其中；而“{1}，{2}”。","不义而富且贵,于我如浮云","2020","新课标Ⅲ卷","1"
"19","《论语·子罕》中，孔子用“{1}，{2}”两句话阐明，一个普通人，也是有坚定志向的；要改变一个人的志向，是很困难的。","三军可夺帅也,匹夫不可夺志也","2019","新课标Ⅲ卷","1"
"20","《论语·为政》中“{1}，{2}”两句指出，成为教师的条件是温习学过的知识进而又能从中获得新的理解与体会。","温故而知新,可以为师矣","2018","新课标Ⅰ卷","1"
"21","《论语·述而》中将“君子”与“小人”的心态进行对比的两句是：“{1}，{2}”","君子坦荡荡,小人长戚戚","2017","山东卷","1"
"22","作文课上，房老师使用《屈原列传》中“{1}，{2}”两句话，引导学生描写寻常事物以表示宏大意旨，列举浅近事例来传达深远意蕴。","其称文小而其指极大,举类迩而见义远","2024","新高考Ⅰ卷","3"
"23","《史记·屈原贾生列传》认为，《离骚》兼具《国风》和《小雅》的情感特点，其中《国风》是“{1}”，《小雅》是“{2}”。","好色而不淫,怨诽而不乱","2024","北京卷","3"
"24","乡村民宿“爱陶居”开业了，房屋周围按照陶渊明《归园田居》（其一）中“{1}，{2}”的句意，栽种了多种树木，受到游客喜爱。","榆柳荫后檐,桃李罗堂前","2024","新高考Ⅰ卷","38"
"25","陶渊明《归园田居》（其一）中“{1}，{2}”两句使用叠字，增添了乡村远景的平静安详之感。","暧暧远人村,依依墟里烟","2022","新高考Ⅱ卷","38"
"26","陶渊明《归园田居》（其一）中“{1}，{2}”两句，采用对仗句式，连用两个比喻，表达诗人对官场的厌倦以及对田园的向往。","羁鸟恋旧林,池鱼思故渊","2021","新高考II卷","38"
"27","快过年了，于老师牵挂在成都旅行的女儿，给她发短信息时用了李白《蜀道难》中的诗句“{1}，{2}”，希望她不要贪玩，早点儿回家。","锦城虽云乐,不如早还家","2024","新高考Ⅱ卷","42"
"28","李白《蜀道难》中“{1}，{2}”两句，回顾了“五丁开山”的传说。","地崩山摧壮士死,然后天梯石栈相钩连","2019","新课标Ⅰ卷","42"
